,"Orig. inplace ass. liquid 
[mill Sm3]","Orig. inplace ass. gas 
[bill Sm3]","Orig. inplace free gas 
[bill Sm3]","Orig. inplace oil 
[mill Sm3]","Orig. recoverable NGL 
[mill tonn]","Orig. recoverable cond. 
[mill Sm3]","Orig. recoverable oil eq. 
[mill Sm3 o.e]","Remaining oil 
[mill Sm3]","Remaining gas 
[bill Sm3]","Remaining NGL 
[mill tonn]","Remaining cond.  
[mill Sm3]","Remaining  oil eq. 
[mill Sm3 o.e]",Avg Core Photos,Completion logs,# of Wells,Exp start year,Exp start month,Dev start year,Dev start month,Dev end year,Dev end month,Exp Duration,Dev Duration
"Remaining cond.  
[mill Sm3]",0.20329420917867022,-0.13614926857723034,0.27814269744294706,-0.2590136757420846,-0.053722295997761106,0.4160080678268932,0.16464204669533547,-0.23700519087994643,0.29794502166758513,0.024498686147850154,0.9999999999999999,0.25637073620731404,-0.04500481751736532,-0.045005717748750465,0.07938799877396707,0.11148795798062855,-0.09362911073819394,0.15727397481660912,0.21584983455129514,0.1415391722426789,0.098365967402256,0.1094716076996725,-0.037109472544675566
"Remaining  oil eq. 
[mill Sm3 o.e]",0.3174367006995619,0.4185853513279454,0.2913669659200002,0.4822720562464245,0.5391366165228708,-0.03768019236240193,0.6902607830051892,0.8294280523594355,0.7593831802133325,0.6928035421318143,0.25637073620731404,0.9999999999999998,0.24336824437255614,0.2431875162612009,0.2530422639766328,0.10066457217459582,0.04380128759155515,0.20715965594948021,0.15861273828972508,0.6353282100719037,0.022750199245877505,0.2137730447986208,0.36854339925395313
Avg Core Photos,0.19223860649150318,0.23573610150000274,0.15075604310038898,0.16978451315889612,0.2599905585606272,0.07967537833145373,0.22135268646462483,0.2070641923245107,0.2210545859871309,0.2943402856620994,-0.04500481751736531,0.2433682443725561,0.9999999999999999,0.9987798293758965,0.057148817876841694,-0.052589922108765924,0.08348853905801869,-0.014779920813520525,0.04964038846544309,0.13788528005304765,0.018772539064294148,0.1580214168866358,0.11165248108341379
Completion logs,0.193078151843762,0.23724022848578868,0.1513734399209033,0.17359553588849935,0.2640993071658446,0.08380026740439246,0.2269629216601769,0.20661861725025638,0.2169181805949223,0.29294543723998856,-0.045005717748750465,0.2431875162612009,0.9987798293758965,1.0,0.06077242668452146,-0.05376403681246023,0.08454699611146792,-0.020272077259691552,0.03944220203300101,0.13860173185182736,0.02683458078584444,0.15508904968654919,0.11772823572807699
# of Wells,0.2266553004802269,0.3575326562973884,0.1431517175796571,0.32287837183791973,0.2528493179633555,0.012585152996467666,0.39590890898523934,0.2114494952810587,0.14554929067113367,0.13606809718050925,0.07938799877396707,0.2530422639766328,0.05714881787684169,0.060772426684521465,0.9999999999999998,-0.36296679535891757,0.055063748614560995,-0.28336921545399146,0.01956846278895915,0.177564058944809,0.09733328979482414,0.1672912461376187,0.40303249892025533
Exp start year,-0.13631663055330157,-0.32951564837743275,-0.000539193536757873,-0.1945374095691498,-0.24584056871246765,-0.15662940218209623,-0.32596001887264514,0.07549513039526867,0.05617515774551052,0.006209484895674412,0.11148795798062855,0.10066457217459582,-0.052589922108765924,-0.05376403681246024,-0.3629667953589175,1.0,-0.16325274126107336,0.7573979586798687,0.02278283190499811,0.029614366587019995,0.023799171431147532,-0.3398294982094049,-0.46793962870988004
Exp start month,0.17875938416765688,0.2059114916327576,0.08597566527178387,0.17641725671730532,0.21140129220972714,0.08405547597528278,0.20619413814208506,0.03676338697768924,0.12441970124348257,0.13565028218793018,-0.09362911073819394,0.04380128759155515,0.08348853905801869,0.08454699611146793,0.055063748614561,-0.1632527412610734,0.9999999999999998,-0.15812956121525684,0.020730302835376656,0.19019217076115663,0.11408418113407318,0.13589854430934772,0.3161118359996362
Dev start year,-0.007291222285077398,-0.32555568534219415,0.10348928898278348,-0.27418947661841264,-0.18920535656820234,-0.16798143887279582,-0.35915856784789496,0.13031673513653294,0.23848326962733724,0.13736853551804712,0.15727397481660912,0.20715965594948021,-0.014779920813520527,-0.020272077259691556,-0.28336921545399146,0.7573979586798687,-0.15812956121525684,1.0,0.03600342561107582,0.16371705520544202,0.15818841508910672,0.14513825194880442,-0.5587842373836135
Dev start month,0.2666535277773698,-0.09836008050862911,0.2494776529672658,-0.12090844087253391,0.11358648660535975,0.1280675593538627,0.1788780551210649,0.037613351317193656,0.1408708704372724,0.10475421645607907,0.2158498345512951,0.15861273828972508,0.04964038846544309,0.039442202033001,0.019568462788959146,0.022782831904998108,0.020730302835376652,0.03600342561107582,1.0,0.1682840414480885,0.012191257335556576,0.17240860226922938,0.1275613598001151
Dev end year,0.30305988246948257,0.3869513293444117,0.1936827631041545,0.43498047625088954,0.4521536474714597,-0.05896132375710314,0.519834216768102,0.5357708759791122,0.5087688693434798,0.486731890210094,0.14153917224267887,0.6353282100719035,0.13788528005304768,0.13860173185182736,0.177564058944809,0.029614366587019998,0.1901921707611566,0.16371705520544202,0.16828404144808848,1.0,0.1445594123373814,0.2888366382725271,0.5573952000340241
Dev end month,0.09340808554340764,-0.010471426072989808,0.11085456312763041,-0.05153614523941123,0.08356313612573016,-0.0070284708795951565,-0.00589381730739876,-0.05356899432339057,0.10774678566389598,0.030192196989504858,0.09836596740225599,0.022750199245877505,0.018772539064294148,0.02683458078584444,0.09733328979482414,0.023799171431147532,0.11408418113407319,0.15818841508910672,0.012191257335556574,0.14455941233738137,0.9999999999999998,0.24705725757690652,0.12971101599386461
Exp Duration,0.3791830212168805,0.05141426240891369,0.34573654128483183,-0.0662177261623127,0.19024621172727726,0.16897287549662438,0.20893936550096368,0.08030193724420578,0.3277004645980119,0.21662319844638728,0.1094716076996725,0.2137730447986208,0.1580214168866358,0.15508904968654919,0.1672912461376187,-0.3398294982094049,0.13589854430934772,0.14513825194880442,0.17240860226922938,0.2888366382725271,0.24705725757690652,1.0,0.19277661354994774
Dev Duration,0.27328992063830504,0.5799618868396447,0.0803990416364444,0.6014073000320702,0.538615857972698,0.0852710538679589,0.7486616794671843,0.378224519612948,0.24865826388811182,0.2951487982426106,-0.037109472544675566,0.36854339925395313,0.11165248108341379,0.11772823572807697,0.40303249892025533,-0.46793962870987993,0.31611183599963616,-0.5587842373836134,0.1275613598001151,0.5573952000340241,0.12971101599386464,0.19277661354994774,0.9999999999999998
