,"Orig. inplace ass. liquid 
[mill Sm3]","Orig. inplace ass. gas 
[bill Sm3]","Orig. inplace free gas 
[bill Sm3]","Orig. inplace oil 
[mill Sm3]","Orig. recoverable NGL 
[mill tonn]","Orig. recoverable cond. 
[mill Sm3]","Orig. recoverable oil eq. 
[mill Sm3 o.e]","Remaining oil 
[mill Sm3]","Remaining gas 
[bill Sm3]","Remaining NGL 
[mill tonn]","Remaining cond.  
[mill Sm3]","Remaining  oil eq. 
[mill Sm3 o.e]",Avg Core Photos,Completion logs,# of Wells,Exp start year,Exp start month,Dev start year,Dev start month,Dev end year,Dev end month,Exp Duration,Dev Duration
"Remaining cond.  
[mill Sm3]",0.02411916890374857,0.13321281086460796,0.0018396854196959496,0.003818154307539826,0.5550887291981212,1.706621126721462e-06,0.06879492619395458,0.008305461247968425,0.0008169631217272462,0.7879529739377166,0.0,0.004206362637485792,0.6211071566770241,0.6211001679638204,0.38274792154861426,0.21957170694381611,0.30298214620040953,0.08233917695318302,0.016494527429593665,0.1183845952501122,0.2790659611370227,0.22807644450370626,0.6836392310083629
"Remaining  oil eq. 
[mill Sm3 o.e]",0.00034678007385066157,1.449552942178565e-06,0.0010767453863726772,1.620605937714988e-08,1.247688150482986e-10,0.6790398664838081,1.031117963542791e-18,2.186613685960763e-32,2.4612870068163215e-24,6.833938152636267e-19,0.004206362637485792,0.0,0.006679121144756096,0.006721095833145,0.004745371709417597,0.2679301981779993,0.6304804385606622,0.02150197113888173,0.07973092099826705,2.9495801869921874e-15,0.8027667471081006,0.01758874108985493,2.73806462896833e-05
Avg Core Photos,0.03315751289742025,0.008668800034895785,0.09602836623072628,0.06045918674826428,0.003683010436176368,0.38102238811072353,0.01387604685689735,0.021563539748488497,0.01400799806392878,0.000951178241536925,0.6211071566770242,0.0066791211447561035,0.0,6.093907255901553e-160,0.5301002429498989,0.5634699223377978,0.3585755961723939,0.8711070658650623,0.5855790888285853,0.12828945105303463,0.8367206898173095,0.08087467100671271,0.21888782204669538
Completion logs,0.03238286775537489,0.008239667020476397,0.09465914543483635,0.054830670704841405,0.0031604043540901126,0.3567776112759803,0.01158713308478265,0.02185291894718144,0.0159550016703666,0.0010083146884497934,0.6211001679638204,0.006721095833145,6.093907255901553e-160,0.0,0.5043030390045407,0.5547809406351101,0.3524934959556215,0.8238814849538407,0.6649149580306928,0.12629878337991968,0.7682809462778748,0.08674227330069816,0.19468186082289723
# of Wells,0.011703477141535584,4.9120319138113204e-05,0.11420637100396851,0.00027011963872667244,0.0047784310034126075,0.8901167887618516,5.825263216822629e-06,0.01888692114787635,0.10820712727904612,0.13344649986786059,0.38274792154861426,0.004745371709417597,0.5301002429498989,0.5043030390045407,0.0,3.6910751877364084e-05,0.5452385723667832,0.0014932588104497489,0.8299003305530781,0.04943551977758936,0.2841686268156962,0.0643911620438091,3.8044803472047356e-06
Exp start year,0.1327319703352916,0.00019789505732128676,0.9952774384405414,0.031072846352015376,0.006127837483335184,0.08361910777116839,0.00023399324034495547,0.4065852887284903,0.5371430374312618,0.9456550729752932,0.21957170694381611,0.2679301981779993,0.5634699223377978,0.5547809406351101,3.6910751877364226e-05,0.0,0.07120026731086415,3.788750067022433e-24,0.8024896123909252,0.7450622204376955,0.7938707359442803,0.0001203059192218041,4.832130535259195e-08
Exp start month,0.04789944860918825,0.02231901184942662,0.3443870059027112,0.05094737454527937,0.018914706001137226,0.35530980455552974,0.02213169482152102,0.6864339647286921,0.1703356389574472,0.13465433077705846,0.30298214620040953,0.6304804385606622,0.3585755961723939,0.3524934959556213,0.545238572366783,0.07120026731086403,0.0,0.08066451799030175,0.8199672100214712,0.03511160330374943,0.20895556134045892,0.13393564586809542,0.0003682659253974527
Dev start year,0.9362062594141023,0.0002384636421775425,0.2546638515047637,0.0021484990447713515,0.03608804680433233,0.06328239369250561,4.511930715952862e-05,0.15081472243266736,0.007899303231982284,0.12974011804749713,0.08233917695318302,0.02150197113888173,0.8711070658650623,0.8238814849538407,0.0014932588104497489,3.788750067022433e-24,0.08066451799030175,0.0,0.6925856882392107,0.07038892681812599,0.08055033351146795,0.10921776225593237,1.8615903616490036e-11
Dev start month,0.002870171535441732,0.279094873920618,0.00539032116503095,0.18281396087100385,0.2109616776856192,0.1580513436905806,0.04774913413179788,0.6795779249404222,0.12015052360537812,0.2488718781726777,0.016494527429593665,0.07973092099826705,0.5855790888285853,0.6649149580306928,0.8299003305530782,0.8024896123909252,0.8199672100214713,0.6925856882392107,0.0,0.06280121194263318,0.8935354048719504,0.05653541998634572,0.15971524251813998
Dev end year,0.0006561505953032517,9.816948058588141e-06,0.031834527110411584,4.968085233350371e-07,1.5211543802452558e-07,0.5171143797961624,7.203700032819873e-10,1.7074845088969781e-10,1.8750432824888474e-09,1.1416804423755839e-08,0.11838459525011233,2.9495801869921874e-15,0.12828945105303446,0.12629878337991968,0.04943551977758936,0.7450622204376955,0.03511160330374947,0.07038892681812599,0.06280121194263326,0.0,0.11065345533280008,0.0011953365428357232,2.138344056156456e-11
Dev end month,0.3041300064558484,0.9084838802673242,0.22221872058804162,0.5713230943622853,0.3581448243236742,0.9385005881637267,0.9484138644257459,0.5562198521791606,0.23553331447702108,0.7402635811557525,0.2790659611370227,0.8027667471081006,0.8367206898173095,0.7682809462778748,0.2841686268156962,0.7938707359442803,0.20895556134045892,0.08055033351146795,0.8935354048719505,0.11065345533280008,0.0,0.0058716990748439125,0.1527385921250891
Exp Duration,1.5249414513942921e-05,0.572234722137092,8.97521082981955e-05,0.4668028359470182,0.0350587798142241,0.06171700161801483,0.020381528250851,0.3772766834794049,0.00021562285053397772,0.016102417308331497,0.22807644450370626,0.01758874108985493,0.08087467100671271,0.08674227330069816,0.0643911620438091,0.0001203059192218041,0.13393564586809542,0.10921776225593237,0.05653541998634572,0.0011953365428357232,0.0058716990748439125,0.0,0.032659315178905836
Dev Duration,0.0022250186172058533,2.0731247499147332e-12,0.3766981855092564,1.9003778354754481e-13,1.310043200346985e-10,0.34837028699114747,2.4098508974365945e-23,1.608861798108326e-05,0.005549192252545368,0.0009194310531054022,0.6836392310083629,2.73806462896833e-05,0.21888782204669538,0.1946818608228973,3.8044803472047356e-06,4.832130535259214e-08,0.00036826592539745365,1.861590361649037e-11,0.15971524251813998,2.138344056156456e-11,0.152738592125089,0.032659315178905836,0.0
