Field name,"Orig. inplace ass. liquid 
[mill Sm3]","Orig. inplace ass. gas 
[bill Sm3]","Orig. inplace free gas 
[bill Sm3]","Orig. inplace oil 
[mill Sm3]","Orig. recoverable NGL 
[mill tonn]","Orig. recoverable cond. 
[mill Sm3]","Orig. recoverable oil eq. 
[mill Sm3 o.e]","Remaining oil 
[mill Sm3]","Remaining gas 
[bill Sm3]","Remaining NGL 
[mill tonn]","Remaining cond.  
[mill Sm3]","Remaining  oil eq. 
[mill Sm3 o.e]",Avg Core Photos,Completion logs,# of Wells,Exp start year,Exp start month,Dev start year,Dev start month,Dev end year,Dev end month,Exp Duration,Dev Duration
MARULK,2,0,13.11,0,0.72,0.0,9.748,0.1,1.65,0.15,0.0,2.035,0,0,2,1991,10,2011,10,2019,8,240,94
MIKKEL,19,4,42.7,0,8.4,2.23,56.94,1.34,7.08,1.71,0.0,11.669,68,1,3,1986,12,2002,10,2003,1,190,3
MIME,0,2,0.0,7,0.01,0.0,0.469,0.0,0.0,0.0,0.0,0.0,0,0,1,1969,7,2007,6,0,0,455,0
MORVIN,0,16,0.0,36,1.03,0.0,15.407,0.78,0.57,0.16,0.0,1.654,0,0,1,2001,1,2009,10,2011,5,105,19
MURCHISON,0,3,0.0,27,0.32,0.0,14.818,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0
NJORD,9,35,17.01,132,6.16,0.0,66.894,4.84,13.51,3.84,0.0,25.646,346,3,9,1985,10,1996,9,2011,3,131,174
NORDÃ˜ST FRIGG,0,0,35.1,0,0.0,0.04,11.64,0.0,0.0,0.0,0.0,0.0,0,0,2,1974,4,1981,12,1983,6,92,18
NORNE,2,18,11.5,157,1.65,0.0,111.165,3.85,4.85,0.66,0.0,9.954,0,0,2,1991,10,1996,9,2019,4,59,271
NOVA,0,6,2.24,29,0.66,0.0,12.524,9.13,2.14,0.66,0.0,12.524,0,0,1,2012,2,2014,1,0,0,23,0
ODA,0,1,0.0,9,0.0,0.0,5.19,4.5,0.12,0.0,0.0,4.62,0,0,6,2011,8,2018,7,2018,10,83,3
ODIN,0,0,37.3,13,0.0,0.12,27.42,0.0,0.0,0.0,0.0,0.0,0,0,14,1973,12,1983,12,1985,1,120,13
ORMEN LANGE,36,0,403.92,0,0.0,18.85,319.62,0.0,81.75,0.0,3.8,85.55,0,0,7,1997,7,2005,11,2015,4,100,113
OSEBERG,36,93,116.48,676,15.8,0.0,545.54,13.93,62.66,4.56,0.0,85.254,0,0,13,1979,6,1985,9,2020,2,75,413
OSEBERG SÃ˜R,1,34,13.8,226,2.52,0.0,97.278,11.5,13.13,1.11,0.0,26.739,0,0,14,1990,7,1999,2,2019,8,103,246
OSEBERG Ã˜ST,0,6,0.0,73,0.1,0.0,24.33,1.57,0.02,0.03,0.0,1.647,0,0,3,1981,6,1998,11,2018,4,209,233
OSELVAR,4,2,2.31,7,0.02,0.0,1.118,0.0,0.0,0.0,0.0,0.0,0,0,4,1991,3,2012,3,2012,5,252,2
REV,2,0,3.6,0,0.05,0.0,3.565,0.01,0.01,0.0,0.0,0.02,0,0,3,2000,12,2006,2,2012,8,62,78
RINGHORNE Ã˜ST,0,2,0.0,29,0.0,0.0,16.72,3.66,0.0,0.0,0.0,3.66,0,0,2,2003,8,2006,1,2012,7,29,78
SIGYN,24,3,6.4,0,2.8,6.06,19.5,0.07,0.16,0.04,0.0,0.306,0,0,7,1982,10,2002,1,2016,6,231,173
SINDRE,1,2,0.93,6,0.01,0.0,0.069,0.0,0.03,0.01,0.0,0.049,0,0,1,2017,2,2017,4,2017,4,2,0
SKARV,0,6,48.07,40,3.89,0.0,60.251,4.34,14.29,1.59,0.0,21.651,0,0,1,1998,12,2010,7,2011,12,139,17
SKIRNE,0,0,14.72,5,0.0,0.0,13.1,0.07,0.34,0.0,0.0,0.41,0,0,3,1990,1,2003,2,2003,4,157,2
SKOGUL,0,0,0.0,3,0.0,0.0,1.56,1.42,0.14,0.0,0.0,1.56,0,0,1,2010,4,2019,7,2020,1,111,6
SKULD,0,2,0.2,23,0.05,0.0,6.265,1.48,0.0,0.0,0.0,1.48,0,0,2,2008,10,2013,7,2016,5,57,34
SLEIPNER VEST,79,0,185.11,0,10.58,29.74,202.212,1.58,8.08,0.63,0.0,10.857,0,0,8,1974,9,1995,9,2018,1,252,268
SLEIPNER Ã˜ST,77,0,90.7,0,13.41,26.62,120.989,0.06,0.27,0.03,0.0,0.387,0,0,2,1981,5,1992,10,2009,3,137,197
SNORRE,0,64,0.0,601,4.76,0.0,327.084,90.06,0.0,0.0,0.0,90.06,0,0,8,1979,7,1990,9,2020,3,134,354
SNÃ˜HVIT,41,11,347.3,0,8.45,24.26,256.365,0.0,154.68,5.5,15.85,180.98,0,0,10,1981,6,2004,12,2020,2,282,182
SOLVEIG,0,4,0.91,23,0.42,0.0,9.218,6.98,1.44,0.42,0.0,9.218,0,0,4,2013,3,2018,4,0,0,61,0
STATFJORD,0,154,0.0,860,22.64,0.81,703.806,3.09,4.06,1.26,0.0,9.544,0,0,1,1973,12,1979,1,2019,12,61,491
STATFJORD NORD,0,5,0.0,73,1.09,0.0,44.431,1.76,0.1,0.04,0.0,1.936,0,0,1,1976,11,1994,9,2016,10,214,265
STATFJORD Ã˜ST,0,9,0.0,65,2.13,0.0,45.897,0.29,0.13,0.05,0.0,0.515,0,0,1,1976,9,1993,7,2016,10,202,279
SVALIN,0,1,0.0,16,0.0,0.0,9.63,3.77,0.0,0.0,0.0,3.77,0,0,4,1992,6,2013,7,2014,8,253,13
SYGNA,0,1,0.0,21,0.0,0.0,11.33,0.63,0.0,0.0,0.0,0.63,0,0,2,1996,6,2000,1,2017,2,43,205
TAMBAR,2,8,0.0,32,0.55,0.0,15.955,1.29,0.33,0.03,0.0,1.677,0,0,8,1982,8,1998,5,2018,1,189,236
TAMBAR Ã˜ST,0,1,0.0,8,0.01,0.0,0.429,0.07,0.0,0.0,0.0,0.07,0,0,3,0,0,2007,3,2007,7,0,4
TOMMELITEN GAMMA,0,15,0.0,12,0.57,0.0,14.643,0.0,0.0,0.0,0.0,0.0,0,0,9,1977,8,1986,9,1988,4,109,19
TOR,0,40,0.0,151,1.42,0.0,48.398,9.18,1.21,0.23,0.0,10.827,0,0,33,1970,8,1977,2,2006,10,78,356
TORDIS,0,14,0.0,120,1.81,0.0,74.579,4.5,0.18,0.07,0.0,4.813,0,0,5,1987,10,1993,8,2017,1,70,281
TRESTAKK,0,6,0.0,28,0.23,0.0,11.927,10.02,0.78,0.23,0.0,11.237,293,1,1,1986,6,2018,11,2020,3,389,16
TROLL,86,38,1625.0,664,23.26,1.52,1768.224,11.49,753.3,12.09,0.0,787.761,0,0,3,1979,7,1989,9,2020,2,122,365
TRYM,4,0,6.2,0,0.0,0.0,6.26,0.12,0.71,0.0,0.0,0.83,0,0,5,1989,9,2010,9,2011,3,252,6
TUNE,11,0,22.3,2,0.14,0.0,22.536,0.02,0.2,0.0,0.0,0.22,0,0,4,1994,11,2001,8,2009,4,81,92
TYRIHANS,18,17,51.32,65,7.3,0.0,91.76,3.2,28.59,4.45,0.0,40.245,83,2,8,1982,11,2008,4,2018,12,305,128
ULA,6,15,0.0,179,3.05,0.0,91.625,6.29,0.0,0.09,0.0,6.461,0,0,50,1976,7,1986,7,2020,3,120,404
URD,0,2,0.0,31,0.04,0.0,9.266,1.7,0.0,0.0,0.0,1.7,0,0,11,2000,2,2004,10,2016,9,56,143
UTGARD,6,0,4.97,0,0.34,0.0,3.386,0.89,1.54,0.3,0.0,3.0,0,0,1,1981,7,2018,10,2018,12,447,2
VALE,10,0,8.3,0,0.0,0.0,5.26,0.34,0.51,0.0,0.0,0.85,0,0,1,1991,4,2001,5,2005,8,121,51
VALEMON,13,0,61.2,0,0.13,0.0,17.157,0.46,4.08,0.03,0.0,4.597,0,0,5,1985,5,2012,10,2017,10,329,60
VALHALL,20,77,0.0,435,5.7,0.0,200.36,41.49,7.36,1.01,0.0,50.769,0,0,205,1969,7,1981,11,2020,3,148,460
VARG,0,5,0.0,43,0.02,0.02,16.688,0.0,0.0,0.0,0.0,0.0,0,0,4,1984,9,1990,8,2013,3,71,271
VEGA,34,2,49.06,4,7.95,0.0,49.945,3.2,11.83,4.2,0.0,23.01,0,0,9,1980,7,2009,8,2013,7,349,47
VESLEFRIKK,3,17,3.81,121,1.83,0.0,64.477,0.52,0.28,0.08,0.0,0.952,0,0,6,1980,9,1987,7,2015,2,82,331
VEST EKOFISK,0,45,0.0,85,1.43,0.0,40.837,0.0,0.0,0.0,0.0,0.0,0,0,21,1970,8,1975,1,1993,5,53,220
VIGDIS,0,13,0.0,150,1.39,0.0,78.251,10.21,0.0,0.0,0.0,10.21,0,0,4,1986,2,1995,11,2016,5,117,246
VILJE,0,1,0.0,24,0.0,0.0,15.09,2.22,0.0,0.0,0.0,2.22,0,0,1,2003,9,2006,2,2014,3,29,97
VISUND,33,24,83.24,85,7.08,0.0,114.812,6.21,35.8,4.22,0.0,50.028,0,0,8,1985,11,1997,7,2020,3,140,272
VISUND SÃ˜R,4,3,9.0,13,0.84,0.0,10.286,0.12,0.93,0.14,0.0,1.316,0,0,2,2008,9,2011,9,2019,10,36,97
VOLUND,0,2,2.3,22,0.0,0.0,13.89,1.29,0.56,0.0,0.0,1.85,0,0,1,1993,12,2009,2,2017,5,182,99
VOLVE,0,3,0.0,19,0.16,0.09,11.504,0.0,0.0,0.0,0.0,0.0,0,0,1,1992,11,2007,6,2014,3,175,81
YME,0,3,0.0,55,0.0,0.0,19.44,11.53,0.0,0.0,0.0,11.53,0,0,35,1987,2,1993,12,2010,9,82,201
YTTERGRYTA,1,0,7.39,0,0.41,0.0,3.289,0.0,0.0,0.0,0.0,0.0,0,0,2,2007,5,2008,10,2008,10,17,0
Ã†RFUGL,0,0,63.0,13,4.15,0.0,50.825,4.65,31.61,3.52,0.0,42.948,0,0,4,2000,5,2010,9,2020,3,124,114
Ã˜ST FRIGG,0,0,21.37,0,0.0,0.07,9.29,0.0,0.0,0.0,0.0,0.0,0,0,5,1973,8,1987,7,1988,3,167,8
Ã…SGARD,200,57,331.09,192,41.52,17.11,423.988,5.9,32.41,6.46,0.0,50.584,154,7,10,1981,9,1996,2,2019,7,173,281
AASTA HANSTEEN,1,0,78.69,0,0.0,0.69,54.7,0.0,47.4,0.0,0.59,47.99,0,0,8,1997,4,2017,11,2018,11,247,12
